Segment,User Initated conversation,Location Picked,Cab selected,Cab Booked,Ride Completed
11487100000000,1,0,0,0,0
00b1487775105393,1,1,0,0,0
00c1486635875854,1,0,0,0,0
00c1487480127949,1,1,0,0,0
121487000000000,1,1,1,0,0
151486000000000,1,1,0,0,0
01e1487013000798,1,0,0,0,0
271488000000000,1,1,0,0,0
351488000000000,1,1,0,0,0
03a1486138605504,1,1,0,0,0
451486000000000,1,1,1,0,0
461487000000000,1,1,0,0,0
541486000000000,1,1,0,0,0
551486000000000,1,1,0,0,0
561486000000000,1,1,0,0,0
571486000000000,1,1,1,0,0
05b1487219091784,1,1,0,0,0
05b1487405674408,1,1,0,0,0
651487000000000,1,1,0,0,0
701486000000000,1,1,0,0,0
721487000000000,1,0,0,0,0
771487000000000,1,1,0,0,0
821486000000000,1,1,0,0,0
821487000000000,1,1,1,0,0
841488000000000,1,0,0,0,0
861487000000000,1,1,0,0,0
08b1487914072955,1,1,1,1,1
08c1487386348272,1,1,0,0,0
08c1487929228178,1,1,0,0,0
08d1487917987271,1,1,1,1,0
951486000000000,1,1,0,0,0
09c1487079890362,1,1,0,0,0
09e1486279386974,1,1,0,0,0
0a31487001607353,1,1,0,0,0
0a51486696589568,1,1,1,0,0
0ad1486220385167,1,1,1,0,0
0b11486133267212,1,0,0,0,0
0b41486671057915,1,1,1,0,0
0b51486033052448,1,1,1,1,0
0bb1486487520563,1,0,0,0,0
0bb1487918439680,1,1,0,0,0
0be1486807895261,1,1,0,0,0
0be1487834943727,1,1,1,0,0
0c01487219639431,1,1,1,0,0
0ca1487668132720,1,1,0,0,0
0cd1486761491687,1,1,0,0,0
0ce1486494530371,1,1,0,0,0
0ce1486802277692,1,1,1,0,0
0d21486365735421,1,1,0,0,0
0d71486796972865,1,1,0,0,0
0d71487785043963,1,1,0,0,0
0,1,1,0,0,0
0,1,1,1,0,0
0,1,1,0,0,0
0ee1486487629657,1,1,1,0,0
0f71487823372940,1,1,0,0,0
0fa1487253093230,1,1,0,0,0
0fa1487589438507,1,1,0,0,0
0fc1487064629201,1,1,0,0,0
0fe1487854553661,1,1,0,0,0
1001490000000000,1,0,0,0,0
1001490000000000,1,0,0,0,0
1021490000000000,1,0,0,0,0
1021490000000000,1,1,1,0,0
1031490000000000,1,0,0,0,0
1031490000000000,1,1,0,0,0
1031490000000000,1,0,0,0,0
1031490000000000,1,0,0,0,0
1031490000000000,1,0,0,0,0
1041490000000000,1,0,0,0,0
1051490000000000,1,1,0,0,0
1051490000000000,1,0,0,0,0
1051490000000000,1,0,0,0,0
1061490000000000,1,1,0,0,0
1061490000000000,1,1,1,0,0
1071490000000000,1,1,0,0,0
1071490000000000,1,1,0,0,0
1071490000000000,1,0,0,0,0
1071490000000000,1,0,0,0,0
1071490000000000,1,0,0,0,0
1081490000000000,1,0,0,0,0
1081490000000000,1,0,0,0,0
1081490000000000,1,1,0,0,0
1081490000000000,1,0,0,0,0
1081490000000000,1,0,0,0,0
1081490000000000,1,0,0,0,0
1081490000000000,1,1,0,0,0
1.09149E+015,1,0,0,0,0
1.09149E+015,1,0,0,0,0
1.09149E+015,1,0,0,0,0
1.09149E+015,1,1,1,0,0
1.09149E+015,1,1,1,0,0
1.09149E+015,1,0,0,0,0
1.10149E+015,1,1,1,0,0
1.10149E+015,1,0,0,0,0
1.10149E+015,1,0,0,0,0
1.10149E+015,1,1,1,0,0
1.11149E+015,1,1,1,0,0
1.11149E+015,1,1,0,0,0
1.11149E+015,1,0,0,0,0
1.12149E+015,1,0,0,0,0
1.12149E+015,1,0,0,0,0
1.12149E+015,1,0,0,0,0
1.12149E+015,1,1,0,0,0
1131490000000000,1,0,0,0,0
1131490000000000,1,0,0,0,0
1141490000000000,1,1,0,0,0
1141490000000000,1,1,1,0,0
1141490000000000,1,0,0,0,0
1151490000000000,1,0,0,0,0
1151490000000000,1,1,0,0,0
1151490000000000,1,0,0,0,0
1151490000000000,1,0,0,0,0
1.16149E+015,1,0,0,0,0
1.16149E+015,1,1,1,1,1
1.16149E+015,1,0,0,0,0
1.16149E+015,1,0,0,0,0
1.16149E+015,1,1,1,0,0
1.16149E+015,1,1,0,0,0
1.16149E+015,1,0,0,0,0
1.16149E+015,1,1,1,0,0
1171490000000000,1,1,0,0,0
1171490000000000,1,0,0,0,0
1171490000000000,1,0,0,0,0
1171490000000000,1,1,0,0,0
1171490000000000,1,0,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,1,0,0,0
1181490000000000,1,1,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,1,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,1,0,0,0
1181490000000000,1,0,0,0,0
1181490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,1,0,0,0
1191490000000000,1,1,0,0,0
1191490000000000,1,1,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
1191490000000000,1,0,0,0,0
11d1486100586598,1,1,1,1,1
1201490000000000,1,0,0,0,0
1201490000000000,1,0,0,0,0
1201490000000000,1,0,0,0,0
1201490000000000,1,0,0,0,0
1201490000000000,1,0,0,0,0
1201490000000000,1,1,1,0,0
1201490000000000,1,1,0,0,0
1211490000000000,1,0,0,0,0
1211490000000000,1,0,0,0,0
1211490000000000,1,0,0,0,0
1211490000000000,1,0,0,0,0
1211490000000000,1,0,0,0,0
1211490000000000,1,1,0,0,0
1211490000000000,1,1,0,0,0
1211490000000000,1,1,0,0,0
1211490000000000,1,1,0,0,0
1211490000000000,1,1,1,0,0
1211490000000000,1,0,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,1,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,1,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,1,0,0,0
1221490000000000,1,0,0,0,0
1221490000000000,1,1,0,0,0
1221490000000000,1,0,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,1,1,0,0
1231490000000000,1,1,0,0,0
1231490000000000,1,1,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,1,1,1,0
1231490000000000,1,1,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,1,1,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,1,0,0,0
1231490000000000,1,0,0,0,0
1231490000000000,1,0,0,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,1,1,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,0,0,0,0
1241490000000000,1,1,0,0,0
1241490000000000,1,0,0,0,0
1251490000000000,1,1,1,0,0
1251490000000000,1,1,0,0,0
1251490000000000,1,1,0,0,0
1251490000000000,1,1,0,0,0
1251490000000000,1,0,0,0,0
1251490000000000,1,1,0,0,0
1251490000000000,1,0,0,0,0
1251490000000000,1,1,1,0,0
1251490000000000,1,1,1,0,0
1251490000000000,1,1,0,0,0
1261490000000000,1,1,1,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,0,0,0,0
1261490000000000,1,1,0,0,0
1271490000000000,1,1,0,0,0
1271490000000000,1,1,0,0,0
1271490000000000,1,1,1,0,0
1271490000000000,1,1,0,0,0
1271490000000000,1,1,0,0,0
1271490000000000,1,0,0,0,0
1271490000000000,1,0,0,0,0
1271490000000000,1,1,0,0,0
1271490000000000,1,0,0,0,0
1271490000000000,1,0,0,0,0
1281490000000000,1,0,0,0,0
1281490000000000,1,0,0,0,0
1281490000000000,1,1,1,0,0
1281490000000000,1,0,0,0,0
1281490000000000,1,1,1,0,0
1281490000000000,1,1,0,0,0
1281490000000000,1,0,0,0,0
1291490000000000,1,1,1,0,0
1291490000000000,1,0,0,0,0
1291490000000000,1,0,0,0,0
1291490000000000,1,0,0,0,0
1291490000000000,1,1,1,0,0
1291490000000000,1,1,0,0,0
1291490000000000,1,0,0,0,0
1291490000000000,1,0,0,0,0
12a1487536295007,1,1,0,0,0
1301490000000000,1,0,0,0,0
1301490000000000,1,1,1,1,1
1301490000000000,1,1,0,0,0
1301490000000000,1,0,0,0,0
1301490000000000,1,1,1,0,0
1301490000000000,1,1,0,0,0
1301490000000000,1,1,0,0,0
1301490000000000,1,1,1,1,1
1311490000000000,1,1,1,0,0
1311490000000000,1,1,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,1,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,1,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,1,0,0,0
1311490000000000,1,1,1,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,0,0,0,0
1311490000000000,1,1,1,0,0
1311490000000000,1,1,0,0,0
1321490000000000,1,0,0,0,0
1321490000000000,1,0,0,0,0
1321490000000000,1,0,0,0,0
1321490000000000,1,1,0,0,0
1321490000000000,1,1,0,0,0
1321490000000000,1,0,0,0,0
1321490000000000,1,1,1,0,0
1321490000000000,1,1,0,0,0
1321490000000000,1,0,0,0,0
1331490000000000,1,1,0,0,0
1331490000000000,1,0,0,0,0
1331490000000000,1,0,0,0,0
